Trains,Buses,AvgServiceTime,LongestServiceTime,CompletedJobs
12,33,43.29,246.37,15478
12,34,43.89,247.20,14192
12,35,43.12,243.39,15092
12,36,42.31,245.85,15727
12,37,42.95,242.35,15499
12,38,43.38,242.46,15034
12,39,43.65,245.97,14752
12,40,42.59,246.63,14681
12,41,42.23,253.75,15347
12,42,43.78,245.69,14922
12,43,42.71,252.18,15518
12,44,44.41,244.16,14855
12,45,42.59,241.88,15608
12,46,43.29,242.69,15128
12,47,42.82,243.31,15308
12,48,42.17,245.45,14853
12,49,42.12,246.89,15295
12,50,42.27,242.08,15250
13,1,96.38,252.06,3370
13,2,72.04,245.96,5682
13,3,57.52,248.09,7326
13,4,59.34,244.21,7765
13,5,61.54,248.66,8240
13,6,61.76,242.21,8636
13,7,64.10,249.13,9213
13,8,65.54,240.72,9251
13,9,65.60,242.83,9639
13,10,65.26,243.03,10221
13,11,64.97,242.14,10544
13,12,64.25,246.28,11044
13,13,63.30,247.72,11625
13,14,63.25,242.70,12096
13,15,61.29,242.90,12601
13,16,59.20,246.54,13132
13,17,57.96,243.54,13621
13,18,55.05,243.42,14030
13,19,52.04,242.41,14317
13,20,49.26,242.84,15120
13,21,47.55,243.68,15487
13,22,44.09,242.82,15640
13,23,43.42,242.29,15499
13,24,42.62,242.32,15735
13,25,41.78,246.37,15550
13,26,41.87,242.41,16047
13,27,41.72,244.12,15890
13,28,42.12,246.04,15828
13,29,42.05,244.68,15683
13,30,41.92,243.50,15894
13,31,41.61,242.47,15431
13,32,41.92,243.05,16026
13,33,41.95,243.25,15601
13,34,42.90,250.81,15387
13,35,41.66,244.88,15588
13,36,42.13,242.11,16001
13,37,42.33,244.13,15493
13,38,41.71,242.90,15819
13,39,41.99,246.22,16047
13,40,41.99,242.94,15702
13,41,41.69,242.69,15675
13,42,42.75,242.35,15536
13,43,42.48,246.44,16001
13,44,42.03,245.76,15791
13,45,42.07,242.97,15874
13,46,42.04,246.36,15525
13,47,41.74,246.57,15616
13,48,43.21,246.40,15492
13,49,41.67,246.44,15792
13,50,41.64,243.12,16008
14,1,99.36,253.23,3335
14,2,74.42,251.60,5757
14,3,58.09,253.11,7340
14,4,58.97,244.14,7938
14,5,62.42,250.52,8276
14,6,62.47,250.28,8632
14,7,65.01,243.30,9082
14,8,65.54,239.94,9401
14,9,64.53,245.63,9652
14,10,66.04,245.61,10218
14,11,65.85,249.88,10594
14,12,64.51,247.33,11100
14,13,62.90,242.59,11398
14,14,62.56,247.88,12098
14,15,61.38,246.03,12696
14,16,58.97,242.44,13076
14,17,56.90,242.41,13704
14,18,55.06,242.98,14021
14,19,50.82,243.03,14663
14,20,49.01,246.80,14977
14,21,46.21,244.13,15659
14,22,44.90,246.25,15793
14,23,43.09,245.82,16062
14,24,42.13,242.49,15796
14,25,41.53,245.57,16236
14,26,41.34,243.19,16179
14,27,41.50,242.95,16340
14,28,41.28,245.50,16144
14,29,41.95,246.07,15768
14,30,41.23,245.74,16075
14,31,41.56,243.03,16254
14,32,42.14,246.68,16012
14,33,41.16,243.41,15904
14,34,41.58,243.09,15993
14,35,42.05,241.56,16197
14,36,41.79,245.34,15780
14,37,41.38,245.40,15742
